period,method,reference_history,n,changed_probability_weeks,recoveries,regressions,brier_difference
year_2023,learned_market,rolling5_annual20,48,12,2,0,-0.0014392601380243597
year_2023,learned_market,monthly_state_validated,48,0,0,0,0.0
year_2023,learned_market,weekly_state_validated,48,9,0,0,0.00014430904303192396
year_2023,learned_vol_interaction,rolling5_annual20,48,12,1,0,-0.0015447344332376895
year_2023,learned_vol_interaction,monthly_state_validated,48,0,0,0,0.0
year_2023,learned_vol_interaction,weekly_state_validated,48,9,0,0,0.0001415446635458321
year_2023,learned_order_extension,rolling5_annual20,48,12,1,0,-0.0016571377197714743
year_2023,learned_order_extension,monthly_state_validated,48,0,0,0,0.0
year_2023,learned_order_extension,weekly_state_validated,48,9,0,0,0.0001320564044793021
year_2023,learned_order_offset,rolling5_annual20,48,12,1,0,-0.001681516315040655
year_2023,learned_order_offset,monthly_state_validated,48,0,0,0,0.0
year_2023,learned_order_offset,weekly_state_validated,48,9,0,0,0.00012941627426905564
year_2024,learned_market,rolling5_annual20,47,5,0,0,-0.0024312487810152173
year_2024,learned_market,monthly_state_validated,47,3,0,0,-0.0022331469889531525
year_2024,learned_market,weekly_state_validated,47,1,0,0,9.258391702052462e-05
year_2024,learned_vol_interaction,rolling5_annual20,47,13,2,1,-0.0021449668871500677
year_2024,learned_vol_interaction,monthly_state_validated,47,3,1,0,-0.002301529309991634
year_2024,learned_vol_interaction,weekly_state_validated,47,9,1,1,0.0004460179970859697
year_2024,learned_order_extension,rolling5_annual20,47,12,2,2,-0.002493929230199125
year_2024,learned_order_extension,monthly_state_validated,47,3,1,0,-0.00236026586999407
year_2024,learned_order_extension,weekly_state_validated,47,9,1,2,-0.0001336633602050548
year_2024,learned_order_offset,rolling5_annual20,47,12,2,2,-0.0025351168989253756
year_2024,learned_order_offset,monthly_state_validated,47,3,1,0,-0.002371349912609457
year_2024,learned_order_offset,weekly_state_validated,47,9,1,2,-0.00016376698631591772
year_2025,learned_market,rolling5_annual20,48,6,0,0,0.0005645512217562756
year_2025,learned_market,monthly_state_validated,48,0,0,0,0.0
year_2025,learned_market,weekly_state_validated,48,6,0,0,0.0005645512217562756
year_2025,learned_vol_interaction,rolling5_annual20,48,6,0,0,0.0005887101871981942
year_2025,learned_vol_interaction,monthly_state_validated,48,0,0,0,0.0
year_2025,learned_vol_interaction,weekly_state_validated,48,6,0,0,0.0005887101871981942
year_2025,learned_order_extension,rolling5_annual20,48,9,0,0,0.0004776713671099618
year_2025,learned_order_extension,monthly_state_validated,48,0,0,0,0.0
year_2025,learned_order_extension,weekly_state_validated,48,9,0,0,0.0004776713671099618
year_2025,learned_order_offset,rolling5_annual20,48,9,0,0,0.00047726558344540846
year_2025,learned_order_offset,monthly_state_validated,48,0,0,0,0.0
year_2025,learned_order_offset,weekly_state_validated,48,9,0,0,0.00047726558344540846
year_2026,learned_market,rolling5_annual20,30,2,0,1,0.0011420165043490526
year_2026,learned_market,monthly_state_validated,30,0,0,0,0.0
year_2026,learned_market,weekly_state_validated,30,0,0,0,0.0
year_2026,learned_vol_interaction,rolling5_annual20,30,2,0,0,0.0011987629030743407
year_2026,learned_vol_interaction,monthly_state_validated,30,0,0,0,0.0
year_2026,learned_vol_interaction,weekly_state_validated,30,0,0,0,0.0
year_2026,learned_order_extension,rolling5_annual20,30,0,0,0,0.0
year_2026,learned_order_extension,monthly_state_validated,30,0,0,0,0.0
year_2026,learned_order_extension,weekly_state_validated,30,0,0,0,0.0
year_2026,learned_order_offset,rolling5_annual20,30,0,0,0,0.0
year_2026,learned_order_offset,monthly_state_validated,30,0,0,0,0.0
year_2026,learned_order_offset,weekly_state_validated,30,0,0,0,0.0
